Time: 18.09, Latitude: 47.397706078, Longitude 8.545598716, Altitude 494.48
Time: 18.19, Latitude: 47.397703993, Longitude 8.545589434, Altitude 492.65
Time: 18.29, Latitude: 47.397703946, Longitude 8.54558391, Altitude 493.63
Time: 18.39, Latitude: 47.397703946, Longitude 8.54558391, Altitude 493.63
Time: 18.49, Latitude: 47.397706936, Longitude 8.545577788, Altitude 493.69
Time: 18.59, Latitude: 47.397704848, Longitude 8.545569131, Altitude 492.32
Time: 18.69, Latitude: 47.397710612, Longitude 8.545563263, Altitude 493.61
Time: 18.79, Latitude: 47.397713875, Longitude 8.545554059, Altitude 492.83
Time: 18.89, Latitude: 47.397713875, Longitude 8.545554059, Altitude 492.83
Time: 18.99, Latitude: 47.397714207, Longitude 8.54554938, Altitude 493.5
Time: 19.09, Latitude: 47.39772224, Longitude 8.545543395, Altitude 494.5
Time: 19.19, Latitude: 47.397724646, Longitude 8.545540407, Altitude 493.47
Time: 19.29, Latitude: 47.397730315, Longitude 8.545532837, Altitude 492.85
Time: 19.39, Latitude: 47.397730315, Longitude 8.545532837, Altitude 492.85
Time: 19.49, Latitude: 47.397734456, Longitude 8.545530693, Altitude 492.51
Time: 19.59, Latitude: 47.397740623, Longitude 8.545531471, Altitude 493.57
Time: 19.69, Latitude: 47.397746146, Longitude 8.545532125, Altitude 492.96
Time: 19.79, Latitude: 47.397746146, Longitude 8.545532125, Altitude 492.96
Time: 19.89, Latitude: 47.39775047, Longitude 8.545529569, Altitude 493.65
Time: 19.99, Latitude: 47.397756481, Longitude 8.545533388, Altitude 493.02
Time: 20.09, Latitude: 47.397762012, Longitude 8.545537853, Altitude 494.27
Time: 20.19, Latitude: 47.397767565, Longitude 8.545537526, Altitude 493.59
Time: 20.29, Latitude: 47.397767565, Longitude 8.545537526, Altitude 493.59
Time: 20.39, Latitude: 47.397775984, Longitude 8.545542268, Altitude 492.43
Time: 20.49, Latitude: 47.39777551, Longitude 8.545549027, Altitude 493.41
Time: 20.59, Latitude: 47.397778146, Longitude 8.545551335, Altitude 493.77
Time: 20.69, Latitude: 47.397782861, Longitude 8.545561676, Altitude 493.5
Time: 20.79, Latitude: 47.397782861, Longitude 8.545561676, Altitude 493.5
Time: 20.89, Latitude: 47.397784511, Longitude 8.545567783, Altitude 493.6
Time: 20.99, Latitude: 47.397787243, Longitude 8.54557751, Altitude 492.6
Time: 21.09, Latitude: 47.397787723, Longitude 8.545585269, Altitude 494.71
Time: 21.19, Latitude: 47.397787723, Longitude 8.545585269, Altitude 494.71
Time: 21.29, Latitude: 47.397788669, Longitude 8.545593462, Altitude 493.94
Time: 21.39, Latitude: 47.397789207, Longitude 8.545601342, Altitude 493.25
Time: 21.49, Latitude: 47.397785443, Longitude 8.545608575, Altitude 493.44
Time: 21.59, Latitude: 47.3977879, Longitude 8.545614993, Altitude 493.9
Time: 21.69, Latitude: 47.3977879, Longitude 8.545614993, Altitude 493.9
Time: 21.79, Latitude: 47.397785994, Longitude 8.545621548, Altitude 493.13
Time: 21.89, Latitude: 47.397780793, Longitude 8.545631089, Altitude 493.32
Time: 21.99, Latitude: 47.397779238, Longitude 8.545633329, Altitude 493.8
Time: 22.09, Latitude: 47.397779238, Longitude 8.545633329, Altitude 493.8
Time: 22.19, Latitude: 47.39777363, Longitude 8.545642512, Altitude 493.79
Time: 22.29, Latitude: 47.397769636, Longitude 8.545647783, Altitude 493.57
Time: 22.39, Latitude: 47.397767054, Longitude 8.545650558, Altitude 493.85
Time: 22.49, Latitude: 47.397761096, Longitude 8.545655131, Altitude 493.0
Time: 22.59, Latitude: 47.397761096, Longitude 8.545655131, Altitude 493.0
Time: 22.69, Latitude: 47.397758837, Longitude 8.545656088, Altitude 493.81
Time: 22.79, Latitude: 47.397752786, Longitude 8.545660006, Altitude 494.14
Time: 22.89, Latitude: 47.39774513, Longitude 8.545659051, Altitude 492.79
Time: 22.99, Latitude: 47.397734998, Longitude 8.545656857, Altitude 493.18
Time: 23.09, Latitude: 47.397734998, Longitude 8.545656857, Altitude 493.18
Time: 23.19, Latitude: 47.397731836, Longitude 8.545660583, Altitude 492.85
